strain,sex,id,mouse_num,CHOL,HDL,GLU,TG,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,RBC,pctRetic,RDW,MCH,MCHC,CHCM,HDW,MCV,cHGB,mHGB,HCT,PLT,MPV,pulse,pulse_std,systolic_BP,systolic_BP_std,CV,HR,HRV,R_amplitude,RS_amplitude,N,PQ,PR,QRS,QT,QT_dispersion,QTc,QTc_dispersion,RR,ST,BMC,BMD,bone_area,total_area,LTM,pct_fat,TTM,bw
129S1/SvImJ,f,CCF1F01,92297,100,86.8,140,86,11.17,84.4,11.1,0.7,0.3,3,0.6,9.89,2.7,15.1,16.2,33.8,31.9,1.88,47.8,15.1,16,47.3,771,6.8,,,,,,,,,,,,,,,,,,,,0.31,0.07,5.84,9.92,8,13.91,9.71,21.89
129S1/SvImJ,f,CCF1F02,92298,104,94.3,143,56,12.84,81.4,15.2,1.4,0.3,1.1,0.6,10.43,2.5,14.5,15.8,33.2,31.8,1.95,47.6,15.8,16.5,49.7,643,8.5,,,,,,,,,,,,,,,,,,,,0.26,0.07,4.83,9.77,7.1,19.88,9.63,24.33
129S1/SvImJ,f,CCF1F03,92299,111,86.7,126,80,9.67,78.2,17.5,1.5,0.3,1.9,0.6,9.79,4.1,16.4,15.7,33.2,31.8,2.1,47.4,14.8,15.4,46.4,762,7.5,,,,,,,,,,,,,,,,,,,,0.27,0.07,4.9,9.77,7.95,19.56,10.54,22.25
129S1/SvImJ,f,CCF1F04,92300,107,92.6,161,80,9.84,90.4,5.9,1.2,0.1,1.8,0.4,10.22,3.4,15,15.9,33,31.4,1.97,48.1,15.4,16.2,49.2,923,8.3,,,,,,,,,,,,,,,,,,,,0.25,0.06,4.89,10.95,7.65,23.81,10.5,22.57
129S1/SvImJ,f,CCF1F05,92301,115,97.7,155,84,10.29,89.3,6,1.2,0.2,2.8,0.4,10.7,2.4,14.2,15.9,33.4,31.8,1.98,47.8,16.3,17.1,51.1,783,8.3,,,,,,,,,,,,,,,,,,,,0.26,0.07,4.93,10.83,7.45,22.98,10.44,23.07
129S1/SvImJ,m,CCF1M01,92302,137,122.9,167,90,8.9,85.1,10.7,1.3,0.2,2.1,0.6,10.51,2.9,13.8,15.6,32.7,31.3,1.77,47.5,15.7,16.4,50,791,7.8,,,,,,,,,,,,,,,,,,,,0.27,0.06,5.12,11.63,9.2,21.93,12.41,27.44
129S1/SvImJ,m,CCF1M02,92303,139,122.8,194,95,7.76,84.9,11,1.6,0.2,1.6,0.7,10.69,4.4,14.9,15.9,32.4,30.6,1.94,48.9,16,17,52.3,917,8.6,,,,,,,,,,,,,,,,,,,,0.25,0.07,4.8,11.25,8.55,23.53,11.53,26.12
129S1/SvImJ,m,CCF1M03,92304,127,115.6,166,102,7.26,81.2,14.6,1,0.3,2.5,0.4,10.51,2.5,13.8,15.5,32.6,31.3,1.74,47.4,15.6,16.3,49.9,862,6.8,,,,,,,,,,,,,,,,,,,,0.27,0.06,5.22,11.61,9.1,21.36,12.02,26.15
129S1/SvImJ,m,CCF1M04,92305,128,114.4,154,108,9.54,83,12.8,1.7,0.3,1.6,0.7,10.6,2.3,13.8,15.5,33.3,31.9,1.9,46.6,15.7,16.4,49.4,876,5.4,,,,,,,,,,,,,,,,,,,,0.25,0.06,4.99,11.33,8.7,23.1,11.91,23.57
129S1/SvImJ,m,CCF1M05,93528,162,146.1,191,102,7.62,89.4,7.1,1,0.4,1.6,0.5,9.65,1.9,13.4,15.9,32.7,32,2.5,48.7,15,15.4,47,1089,6.2,,,,,,,,,,,,,,,,,,,,0.27,0.06,5.3,10.54,8.8,20.3,11.58,25.53
129SAF1,f,CAF1F01,87462,85,74.9,147,100,10.15,84.7,11.7,1.2,0.3,1.5,0.8,10.55,3.2,13.4,15.8,30.7,29.5,1.41,51.5,16,16.7,54.3,1231,6.7,555,43.4,66.6,20.1,2.08,669,13.9,470.05,772.01,30,18.5,23.1,9.4,44.4,30.5,46.8,31.7,89.7,35.4,0.29,0.06,5.53,10.74,8.4,14.8,10.42,22.91
