Sample,Sex,Gen,Litter,Diet,Coat.Color,BW.3,BW.4,BW.5,BW.6,BW.7,BW.8,BW.9,BW.10,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,BW.22,BW.23,BW.24,BW.25,BW.26,BW.27,BW.28,BW.29,BW.30
F01,F,4,2,hf,agouti,NA,NA,17.58,22.31,25.12,26.32,29.38,29.45,30.22,31.94,30.61,33.87,35.17,36.45,34.63,36.42,36.78,35.46,36.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
F02,F,4,2,hf,black,NA,NA,19.7,24.74,26.08,28.36,30.09,30.76,30.47,32.48,32.37,33.53,33.58,35.69,35.62,37.23,37.65,35.76,35.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
F03,F,4,2,hf,white,NA,NA,18.53,20.82,20.07,20.61,20.96,22.01,21.48,22.82,22.33,22.78,21.41,23.6,23.12,23.67,24.37,24.12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
F04,F,4,2,hf,agouti,NA,NA,14.02,17.39,18.47,19.07,18.97,18.85,19.72,19.92,19.29,19.38,17.96,20.27,19.8,21.24,21.51,21.09,20.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
F05,F,4,2,hf,agouti,NA,NA,18.54,23.54,22.77,25.22,27.54,27.52,29.24,32.22,33.76,33.31,33.07,35.25,35.06,37.46,39.35,39.38,39.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
F06,F,4,2,hf,agouti,NA,NA,17.59,20.06,20.09,21,23.31,24.65,25.14,27.5,28.55,31.02,30.59,33.78,34.03,37.45,37.57,35.3,35.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
F07,F,4,2,hf,white,NA,NA,14.84,18.25,20.96,23.51,23.54,26.43,24.68,27.56,28.05,27.73,27.54,27.64,29.85,32.66,31.39,31.46,32.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
F08,F,4,2,hf,agouti,NA,NA,19.82,26.3,27.78,28.5,29.88,31.01,33.7,36.44,35.66,37.96,40.22,43.48,46.82,49.15,49.73,48.49,47.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
F09,F,4,2,hf,agouti,NA,NA,14.84,16.02,16.33,16.9,17.98,18.13,19.76,19.39,19.49,20.21,20.67,20.81,21.06,21.28,21.45,21.25,21.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
F10,F,4,2,hf,black,NA,NA,15.47,15.75,19.3,19.88,22.01,23.17,22.47,23.16,23.49,24.91,24.8,26.26,27.07,27.77,27.47,27.95,27.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
